seed,backend,accuracy,balanced_accuracy,macro_f1,macro_auroc
2026,torch,0.6333333333333333,0.6333333333333333,0.6347171347171346,0.7598148148148148
2027,torch,0.4444444444444444,0.4444444444444444,0.3623413623413623,0.8703703703703702
2028,torch,0.5,0.5,0.5008419441255262,0.6814814814814815
